movie_id	movie_title	title_year	duration	content_rating	budget	gross	genres	imdb_score	director_name	actor_1_name	actor_2_name	actor_3_name	country
33	Indiana Jones and the Kingdom of the Crystal Skull	2008	122	PG-13	185000000	317011114	Action|Adventure|Fantasy	6.2	Steven Spielberg	Harrison Ford	Ray Winstone	Jim Broadbent	USA
34	Maleficent	2014	97	PG	180000000	241407328	Action|Adventure|Family|Fantasy|Romance	7	Robert Stromberg	Angelina Jolie Pitt	Sharlto Copley	Sam Riley	USA
35	"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"	2005	150	PG	180000000	291709845	Adventure|Family|Fantasy	6.9	Andrew Adamson	Jim Broadbent	Kiran Shah	Shane Rangi	USA
36	The Golden Compass	2007	113	PG-13	180000000	70083519	Adventure|Family|Fantasy	6.1	Chris Weitz	Christopher Lee	Eva Green	Kristin Scott Thomas	USA
37	The Legend of Tarzan	2016	110	PG-13	180000000	124051759	Action|Adventure|Drama|Romance	6.6	David Yates	Christoph Waltz	Alexander Skarsgård	Casper Crump	USA
38	Jupiter Ascending	2015	127	PG-13	176000000	47375327	Action|Adventure|Sci-Fi	5.4	Lana Wachowski	Channing Tatum	Mila Kunis	Eddie Redmayne	USA
39	47 Ronin	2013	128	PG-13	175000000	38297305	Action|Adventure|Drama|Fantasy	6.3	Carl Rinsch	Keanu Reeves	Cary-Hiroyuki Tagawa	Jin Akanishi	USA
40	Evan Almighty	2007	96	PG	175000000	100289690	Comedy|Family|Fantasy	5.4	Tom Shadyac	Jimmy Bennett	Morgan Freeman	Steve Carell	USA
41	G.I. Joe: The Rise of Cobra	2009	118	PG-13	175000000	150167630	Action|Adventure|Sci-Fi|Thriller	5.8	Stephen Sommers	Joseph Gordon-Levitt	Dennis Quaid	Leo Howard	USA
42	Monsters vs. Aliens	2009	94	PG	175000000	198332128	Action|Adventure|Animation|Comedy|Family|Sci-Fi	6.5	Rob Letterman	Amy Poehler	Rainn Wilson	Stephen Colbert	USA
43	Suicide Squad	2016	123	PG-13	175000000	161087183	Action|Adventure|Comedy|Sci-Fi	6.9	David Ayer	Will Smith	Robin Atkin Downes	Ike Barinholtz	USA
44	Alice Through the Looking Glass	2016	113	PG	170000000	76846624	Adventure|Family|Fantasy	6.4	James Bobin	Johnny Depp	Alan Rickman	Anne Hathaway	USA
45	Snow White and the Huntsman	2012	132	PG-13	170000000	155111815	Action|Adventure|Drama|Fantasy	6.1	Rupert Sanders	Chris Hemsworth	Kristen Stewart	Sam Claflin	USA
46	TRON: Legacy	2010	125	PG	170000000	172051787	Action|Adventure|Sci-Fi	6.8	Joseph Kosinski	Jeff Bridges	Olivia Wilde	James Frain	USA
47	Independence Day: Resurgence	2016	120	PG-13	165000000	102315545	Action|Adventure|Sci-Fi	5.5	Roland Emmerich	Vivica A. Fox	Sela Ward	Judd Hirsch	USA
48	Shrek Forever After	2010	93	PG	165000000	238371987	Adventure|Animation|Comedy|Family|Fantasy	6.4	Mike Mitchell	Jon Hamm	Kathy Griffin	Mary Kay Place	USA
49	The Polar Express	2004	100	G	165000000	665426	Adventure|Animation|Family|Fantasy	6.6	Robert Zemeckis	Tom Hanks	Eddie Deezen	Peter Scolari	USA
50	Poseidon	2006	98	PG-13	160000000	60655503	Action|Adventure|Drama|Thriller	5.6	Wolfgang Petersen	Jimmy Bennett	Mike Vogel	Andre Braugher	USA
